01-REG|02-NUM_ITEM|03-COD_ITEM|04-DESCR_COMPL|05-QTD|06-UNID|07-VL_ITEM|08-VL_DESC|09-IND_MOV|10-CST_ICMS|11-CFOP|12-COD_NAT|13-VL_BC_ICMS|14-ALIQ_ICMS|15-VL_ICMS|16-VL_BC_ICMS_ST|17-ALIQ_ST|18-VL_ICMS_ST|19-IND_APUR|20-CST_IPI|21-COD_ENQ|22-VL_BC_IPI|23-ALIQ_IPI|24-VL_IPI|25-CST_PIS|26-VL_BC_PIS|27-ALIQ_PIS|28-QUANT_BC_PIS|29-ALIQ_PIS_REAIS|30-VL_PIS|31-CST_COFINS|32-VL_BC_COFINS|33-ALIQ_COFINS|34-QUANT_BC_COFINS|35-ALIQ_COFINS_REAIS|36-VL_COFINS|37-COD_CTA|38-VL_ABAT_NT|39-LINHA
C170|1|PRO08001001-44|Arco Cirúrgico Ziehm Modelo 8000BR|1|UN|158792,22|0|0|600|5102|512|158792,22|4|6351,69|0|0|0|0|53|999|0|0|0|01|158792,22|1,65|||2620,07|01|158792,22|7,6|||12068,21|9999||581
C170|1|PRO01116061-101|ECOGRAFO E-CUBE 5-W - 20006050 - IMP|1|UN|27658,89|0|0|600|5102|512|27658,89|4|1106,36|0|0|0|0|53|999|0|0|0|01|27658,89|1,65|||456,37|01|27658,89|7,6|||2102,08|1532||584
C170|1|PRO03113033-50|CONTROLADORA DE RAIO-X|1|PC|11231,33|0|0|100|5102|512|11231,33|4|449,25|0|0|0|0|53|999|0|0|0|01|11231,33|1,65|||185,32|01|11231,33|7,6|||853,58|9999||590
C170|1|PRO03121223-44|IMAGEM DE MEMORIA V2-1/2K-2 - R14470 - IMP|1|PC|47771,1|0|0|100|5102|51200|47771,1|17|8121,09|0|0|0|0|53|999|0|0|0|01|47771,1|1,65|||788,22|01|47771,1|7,6|||3630,6|1534||594
C170|2|PRO03121174-44|CABO P0 7000/8000/VISTA 7.5M 24815 - IMP.|1|PC|19968|0|0|100|5102|51200|19968|17|3394,56|0|0|0|0|53|999|0|0|0|01|19968|1,65|||329,47|01|19968|7,6|||1517,57|9999||595
C170|1|PRO25002001-3|Henetix 300   50ml|100|FR|3600|0|0|800|6108|61200|3600|4|144|0|0|0|0|53|999|0|0|0|06|0|0|||0|06|0|0|||0|9999||601
C170|1|PRO04007006-45|TUBO DE CABECA PROLINE XEC - 10010327 |1|PC|364,04|0|0|200|5102|512|364,04|17|61,89|0|0|0|0|53|999|0|0|0|01|364,04|1,65|||6,01|01|364,04|7,6|||27,67|9999||605
C170|1|PRO03115454-50|Correia de caixa de transmissão - 32 PITCH - 2-230-4011 - Imp|1|PC|105,63|0|0|100|5102|512|105,63|4|4,23|0|0|0|0|53|999|0|0|0|01|105,63|1,65|||1,74|01|105,63|7,6|||8,03|9999||609
C170|1|PRO03115598-50|Sup disp. Biopsia manan PN3-000-2044 - Importado|1|PC|2281,88|0|0|100|5102|512|2281,88|4|91,28|0|0|0|0|53|999|0|0|0|01|2281,88|1,65|||37,65|01|2281,88|7,6|||173,42|9999||612
C170|1|PRO57001002-50|Par de monitores Barco Coronics 5MP|1|UN|8623,3|0|0|200|5102|512|8623,3|17|1465,96|0|0|0|0|53|999|0|0|0|01|8623,3|1,65|||142,28|01|8623,3|7,6|||655,37|9999||623
